2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'resourceUrlEncodingFilter' to: [/*]
2021-07-07 11:19:12 [main] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext - Refreshing FeignContext-service-lizhu: startup date [Wed Jul 07 11:19:12 CST 2021]; parent: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e0c7754
2021-07-07 11:19:12 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2021-07-07 11:19:13 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-07 11:19:13 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-07-07 11:19:14 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e0c7754: startup date [Wed Jul 07 11:18:59 CST 2021]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6602d11b
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/text/text]}" onto public org.springframework.web.servlet.ModelAndView com.wondersgroup.cloud.view.basy.controller.TextController.index(java.lang.String)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/text/getBasyTextValue]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult<java.util.Map<java.lang.String, java.lang.Object>> com.wondersgroup.cloud.view.basy.controller.TextController.getBasyTextValue(com.wondersgroup.cloud.pojo.basy.PageData)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/common/queryGridLeft],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.common.controller.CommonController.queryGridLeft(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/common/queryGridRight],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.common.controller.CommonController.queryGridRight(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/common/queryDrgByDrgCode],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.common.controller.CommonController.queryDrgByDrgCode(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/bzcx/bzcx]}" onto public java.lang.String com.wondersgroup.cloud.view.disease.controller.DiseaseBzcxController.index()
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/bzcx/queryGridLeft],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseBzcxController.queryGridLeft(javax.servlet.http.HttpServletRequest)
